,Title,Company,Location,Salary,Details
10,"Application Developer, Data Modeling",Aera Technology,"Pune, Maharashtra",,"Build data crawlers to extract data from customers' sources using Aera's proprietary ETL platform, and troubleshoot the issues faced during data loading & processing Design and build data warehouse models in columnar databases Develop data processing scripts using SQL and be able to optimize complex sequences of SQL queries Work with Solution Architects to understand customers' business requirements and implement them Perform data analysis for complex use cases using SQL Document technical specification for the cognitive applications that we are creating for the customers Own the entire development and implementation workflow Ability to build a software user interface (UI) using the proprietary Aera UI builder Around 4 to 10 years of Development Experience Experience working in ETL (Extract/Transform/Load) processes Strong SQL knowledge Strong knowledge of BI domain, DWH concepts and reporting Basic Unix knowledge Familiarity with workflows in programming concepts Experience using columnar databases Experience working directly with customers and presenting your ideas Excellent communication and presentation skills Applied Python programming Applied Java programming Applied ML skills. R programming experience Experience working with JSON and XML files Experience using APIs Knowledge of SAP Knowledge of supply chain fundamentals and terminology"
11,Data Analyst,Ariprus,"Mumbai, Maharashtra",,"Good knowledge of data mining/Engineering Analytics/predictive analytics/statistical modeling /machine Learning /artificial intelligence/operation research. Understanding of Big Data Technologies like Map Reduce, Hive, Hbase and Hadoop Good proficiency in various analytics tools. Proficiency in various Machine learning techniques. Proficiency with any general purpose programming language Java/Python/C/C++ Good proficiency in data handling (SQL), NoSQL database such as MongoDB, HBase and Cassandra Understanding of UNIX / LINUX environment Should have complete knowledge about SDLC Willing to understand the processes of various industries like Automotive, Manufacturing, Public Sector, and propose suitable solutions Experience in working with Scrum/Agile development environment Should possess excellent problem solving capability Ability to effectively manage multiple tasks simultaneously Assist project managers in estimation and planning of projects Mentor junior engineers and contribute in design/code/test reviews Work closely with R&D teams for rapid prototyping, proof of concepts & demo Contribute to IP of the company like white papers, blogs & patent and drive innovation."
12,Snowflake Data Engineer,Sonata Software,"Bengaluru, Karnataka",,
13,Artificial Intelligence Engineer,Grid Logic Software Private Limited,"Hyderabad, Telangana",,"Understand the business problem, challenge of existing technologies and areas of application for AI technologies. Identify and choose right AI or cognitive computing technologies for solving problems and formulate AI recipes for development. Develop required machine learning models or prototype applications applying formulated AI recipes and verify the problem/solution fit. Involve in development of AI Platform and production infrastructure Help AI team and business stakeholders understand the potential and limitations of AI when planning new products. Formulate, implement, and validate applications of machine learning into in-house tools. Deploy AI models into production. Work with a team of developers and testers in a highly agile environment to produce high quality software. Keeping up to date with emerging technologies (AI, ML) and developments trends in our business domain Should be able to plan and implement change management for short and long-term strategies such as retiring legacy systems, migrating to new systems without impacting productivity. At least 3 years’ hands-on development experience using Python languages Experience in building API driven interface development Demonstrated proficiency in multiple programming languages with a strong foundation in statistical platforms Experience building AI models Experience in designing and developing products, tools or test automation frameworks Python technologies. Experience of developing tools using AI, Machine Learning, Deep Learning is required Experience in designing and implementing systems using emerging technology Demonstrated commitment to learning about AI through your own initiatives through courses, books, or side projects"
14,Data Scientist,Indian Money,"Bengaluru, Karnataka",,
15,Engineer,Sonata Software,"Bengaluru, Karnataka",,
16,Customer Application Engineer,Intel,"Bengaluru, Karnataka",,
17,Data Scientist,Zauba Corp,"Bengaluru, Karnataka",,"Design and development of robust, scalable and highly efficient data engineering solutions for structured and unstructured data Design and develop out-of-the-box solutions to solve complex data problems Develop statistical models for various use cases Develop processes for text mining and extraction of information from unstructured data Design and implement data models that scale across the enterprise Take ownership of existing data workflows and processes Enhance scalability, performance, and stability of existing infrastructure Work closely with other team members to integrate your innovations and algorithms into our production systems Java / R / Python - Intermediate to advanced level` Regex - Advanced SQL - Advanced Apache Weka / Mahout or other similar tools - Intermediate to advanced level Experience in Search Algorithms, Semantic Analysis, with good knowledge of Machine learning/Distributed System/Data Mining/NLP/Artificial Intelligence Linux - Intermediate Hadoop/Spark R MongoDB Skills to learn new skills quickly Desire to create disruptive products and services Passion; not just to work in startups but to take them to next level Above average programming aptitude Be passionate about producing high quality engineering deliverables Be productive working independently or collaboratively Have an eye for building efficient processes Be self motivated Proactively take ownership"
18,Operational Risk-Analyst,Société Générale,"Bengaluru, Karnataka",,"Perform/Analyze/Understand first level controls (Fighting Back Controls) in accordance with regulatory or internal requirements. Produce KPIs for Paris/Local management and worldwide stake holders Ensuring FBK Controls are run/executed in a risk-controlled environment with adequate checks and controls Follow-up the implementation of new controls by MARK/NCG Reporting, tracking and follow up of control exceptions with Front Office /Middle Office / Compliance / COO / ITEC support / ORCM/ OSM’s etc. Work in conjunction with business to understand business, concerns, future plans and provide support to mitigate risk. Deliver 100% quality production by way of Controlling, Monitoring, Analyzing and Completion of activities and tasks related to MARK-NCG=FBK processing. Ensure the quality of the team’s task are reviewed on regular basis and reported on the management reporting tools Fair knowledge on Financial Instruments /Capital markets, Risk/ Operational Risk - Control Risk Analysis and mitigation and Regulations pertaining to Financial market. Good hands on experience on MS office. Excellent interpersonal skills while dealing with various stakeholders Should be a team player & collaborative with Junior & peer team members. Should be flexible and available, when process demands."
19,Data Scientist (Immediate Joiners/Work From Office Only),IndianMoney.,"Bengaluru, Karnataka",,
20,Documentation Specialist,Société Générale,"Bengaluru, Karnataka",,"Writing all kind of documentation under the responsibility of sales people and relative to selling Equity EMTN investment solutions (Term sheets, Info sheets and Final terms); Coordinating/Organizing the documentation’s writing with salespeople, sales analyst (managing priorities, anticipating the workload according to trades complexity and deadlines, controlling timeliness and issuing chain quality); Liaising with ENG/CSG and SEGL/JUR for templates review and validation Identifying the sales needs and proposing improvements (automation, mass producing repetitive checks/tasks); Being aware of documentation evolution and regulatory evolution Handle due diligence questionnaires excellent communication skills in English both oral and written (Chinese speaking would be a plus) organization, rigor, commitment ability to strictly comply with processes, policies, guidelines ability to follow and adapt to regulatory constraints and evolutions of SG applications"
21,Data Scientist-1,PayPal,"Bengaluru, Karnataka",,"Good understanding of machine learning (both analytics and engineering). Hadoop and big data technologies skills, streaming technology. Robotics Process Automation techniques. Artificial Intelligence. Analytical mindset. Good in Data Structure. Good in Problem solving. Deep understanding of statistics and ML algorithms work internally with proficiency in at least 2 supervised and unsupervised algorithms in each bucket.Supervised algorithms : Regression [linear/polynomial], Decision Tree, Random Forest or classification [Logistic Regression, Naïve Bayes, SVM etc] Supervised algorithms : Regression [linear/polynomial], Decision Tree, Random Forest or classification [Logistic Regression, Naïve Bayes, SVM etc] Model design and implementation : Experience in deriving feature sets, model training and testing Preferred tools and programming languages: TensorFlow/Keras, Python Exposure to Deep Learning and NLP is an added advantage. A team player who values collaboration, innovation, and inclusion. Interested in keeping update with the latest technological developments. Comfortable working in an Agile environment. Strong verbal and written communication skills. Interest in the payments industry."
22,"Software Engineer, Machine Learning",Google,"Bengaluru, Karnataka",,"Bachelor's degree in Computer Science, or related technical field, or equivalent work experience. 5 years of relevant work experience. Experience designing and implementing distributed software systems (e.g Java, C++, or Python). Research or Industry experience in Artificial Intelligence, Machine Learning (ML) models, ML infrastructure, Natural Language Processing or Deep Learning. Master's degree or PhD in Computer Science, Artificial Intelligence, Machine Learning or related technical field. 2 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning). Experience with one or more of the following areas: Server Backend Distributed and Parallel Systems, Full Stack Development (front end and backend), Scalable Enterprise Platforms and Applications, Application Security and Incident Management, Machine Learning, Information Retrieval or Natural language processing. Experience in building, deploying, and improving Machine Learning models and algorithms in real-world products. Design, develop, test, deploy, maintain and improve ML models/infrastructure and software that uses these models. Manage individual project priorities, deadlines and deliverables. Participate in cutting edge research in artificial intelligence and machine learning applications. Build the libraries and frameworks that support large, complex web applications. Contribute to engineering efforts from planning and organization to execution and delivery to solve complex, real world engineering problems."
23,Healthcare Management-Health Data Analytics,Accenture,"Bengaluru, Karnataka",,
24,Data Scientist – AI ML Team,CustomerXPs,"Bengaluru, Karnataka",,"Work as part of Clari5.ai team in defining, prototyping and implementing data science models/algorithms as part of the product. Take ownership of the data science model end-to-end from data collection to model building to monitoring the model in production. Along with product managers and domain experts, own the business outcomes/metrics which the data science model/algorithm drives. Work with the product managers and engineering to define best practices for the team. Mentor junior colleagues and conduct internal workshops. Help to make data science and data-driven decision making a part of the organisation’s DNA. Must have 3 – 8 years of experience working on model building. Solid understanding of the mathematics related to data science – probability, statistics, linear algebra etc. Ability to understand business concerns and formulate them as technical problems that can be solved using data and math / stats / ML. Experience working as part of a product team, along with engineers and product managers, to define the problem and execute the data science solution. Must have built 2-3 end to end ML projects in the past. Knowledge of R or Python is a must. Strong hands on experience in working with SQL databases. Experience working with large data sets, coming from varied sources, is a plus Conceptual understanding of big data technologies (Hadoop / HDFS / Spark) is a plus. Prior experience in Natural Language Processing, Recommender Systems or Social Network Analysis is a huge plus. Bachelor’s degree or equivalent combination of education and 3 years or more of experience. Bachelor’s degree in Computer Science, Masters in Mathematics / Statistics preferred."
25,Sr Developer,Sonata Software,"Bengaluru, Karnataka",,
26,Data Scientist,Hitachi Vantara,"Bengaluru, Karnataka",,"The products and solutions are being designed using artificial intelligence and analytics into problems involving management and root cause analysis for IT operations, manufacturing and data centers to provide valuable insights and quantifiable RoI to end users Mentor and guide data science team members as well as developers and QA engineers working on the products Work with business managers to frame a problem, both mathematically and within the business context Perform exploratory data analysis to gain a deeper understanding of the problem Understand business data and how to use it appropriately in data analysis Construct and fit statistical, machine learning, or optimization models using Spark and TensorFlow Apply and develop appropriate advanced statistical, machine learning, and/or deep learning models and algorithms to classify structured or unstructured data Collaborate with internal stakeholders to understand business challenges and develop analytical solutions to optimize business processes Test performance of machine learning and deep learning models 10 to 15 years’ overall experience designing, implementing and successfully delivering enterprise/SAAS product with analytics features 10+ years of experience in analytics, data science, data mining, machine learning or comparable product/consumer analytics role Bachelor's degree in Computer Science, Operations Research or Math/Statistics Experience in working with multi-dimensional data Top notch communication skills to convey key insights from complex analysis, both oral and written Experience in Spark MLLib, PySpark, NumPy/SciPy, TidyData Experience with agile and Scrum Ability to work with distributed teams in a collaborative and productive manner Self-driven and motivated with the desire to work in a fast-paced, results-driven agile environment with varied responsibilities Experience working with TensorFlow, Open CV, Deep learning experience and time series analysis Exposure or experience in IoT/Industrial automation and/or DevOps experience"
27,Developer,Sonata Software,"Bengaluru, Karnataka",,
28,Data Analyst,HealthifyMe Wellness Private Limited,"Bengaluru, Karnataka",,"Work closely with the business stakeholders for enabling data-driven decision making. Explore large datasets and give meaningto numbers by identifying insights. Post each major event, collate information, and present data in a cohesive succinct manner such as to evolve the construct significantly with each iteration. Understand the performance of various teams - basis several key parameters on a day to day basis Prepare reports for the business heads & update key metrics on a daily basis Expert in SQL DML queries. Good Knowledge on Database concepts, Data Warehousing Models. Should be proficient in Spreadsheets and visualization tools like Tableau. Knowing Python language is an added advantage. Strong Analytical, Problem Solving & Communication skills. Should have strong business acumen to understand the key business KPIs Should have an entrepreneurial mindset to be able to navigate between different teams & coordinate for any data gathering requirements Working with a world-class team. Fun & work at the same place with an amazing work culture and flexible timings. Get ready to transform yourself into a health junkie."
29,Business Analyst,Sonata Software,"Bengaluru, Karnataka",,
30,Technical Consulting Engineer - Routing & Switching,Cisco Systems,"Bengaluru, Karnataka",,"Expert level (e.g. CCNA) or equivalent relevant certification desired. Good experience into Routing and Switching. Excellent written and verbal communication, interpersonal and presentation skills. Ability to function in ambiguous circumstances. Possesses customer consulting skills including ability to build relationships with customers, engineers, managers level & above. Demonstrates expertise on broad range of technologies and delivery methods. Deep knowledge of at least one Customer Vertical / IT industry"
31,"Software Engineer, Engineering Productivity",Google,"Bengaluru, Karnataka",,"Bachelor's Degree in Computer Science, related technical field, or equivalent practical experience. 5 years of coding experience in one or more of the following languages: C, C++, Java, or Python. Experience in computer science, data structures, algorithms and software design. Passion for automation and optimization, as well as to develop tools to help other Engineers. Lead and contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and infrastructure. Design and build tooling and infrastructure to help engineering teams measure and increase their velocity. Develop tools to understand, model, and replicate production traffic patterns in pre-production environments, including some cases in statistical modeling and machine learning techniques. Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design. Design and develop mobile tools and infrastructure that help us provide quality apps. Design and build advanced automated testing frameworks."
32,Technical Consultant,Sonata Software,"Bengaluru, Karnataka",,
33,Cloud Engineer,Sonata Software,"Bengaluru, Karnataka",,
34,Software Engineer,WELLS FARGO BANK,"Bengaluru, Karnataka",,"10 to 12 of Expertise in Enterprise image capture softwares like Kofax Capture 10/11, KTM 6.x. Experience in below aspects, in either Kofax or any other Capture/OCR tool. Working knowledge of Text extraction, Table data extraction and OMR value extraction using format locator, table locator, Zone locator etc. Experience in configuring Kofax import connectors and Kofax export connector ( EG: Email import connector, Folder import connector, XML export connector) Knowledge of creating projects in the project builder and synchronizing to KC Admin. Knowledge of creation of Index fields Validation form layouts and custom form layouts. Knowledge of integrating validation forms with .Net services. Knowledge of the usage of KTM extraction locators and Evaluators and assigning to fields. Knowledge of usage of Dictionaries, Flat file Data sources and ODBC Data Sources with KTM project builder."
35,Data Scientist – AI ML Team,CustomerXPs,"Bengaluru, Karnataka",,"Work as part of Clari5.ai team in defining, prototyping and implementing data science models/algorithms as part of the product. Take ownership of the data science model end-to-end from data collection to model building to monitoring the model in production. Along with product managers and domain experts, own the business outcomes/metrics which the data science model/algorithm drives. Work with the product managers and engineering to define best practices for the team. Mentor junior colleagues and conduct internal workshops. Help to make data science and data-driven decision making a part of the organisation’s DNA. Must have 3 – 8 years of experience working on model building. Solid understanding of the mathematics related to data science – probability, statistics, linear algebra etc. Ability to understand business concerns and formulate them as technical problems that can be solved using data and math / stats / ML. Experience working as part of a product team, along with engineers and product managers, to define the problem and execute the data science solution. Must have built 2-3 end to end ML projects in the past. Knowledge of R or Python is a must. Strong hands on experience in working with SQL databases. Experience working with large data sets, coming from varied sources, is a plus Conceptual understanding of big data technologies (Hadoop / HDFS / Spark) is a plus. Prior experience in Natural Language Processing, Recommender Systems or Social Network Analysis is a huge plus. Bachelor’s degree or equivalent combination of education and 3 years or more of experience. Bachelor’s degree in Computer Science, Masters in Mathematics / Statistics preferred."
36,Support Engineer,Nuance,"Bengaluru, Karnataka",,"Provide technical support via email, web, phone and chat ticket handling to external and internal customers. Provide efficient, high quality technical support services to ensure timely response to queries, resolution of problems, and reporting/escalation of unresolved issues. Research, analyze, document and manage resolutions to technical, operational and implementation issues related to Nuance products and their supporting technologies and infrastructures. Must be capable of establishing and documenting processes, policies and procedures; producing high quality technical documentation to be included within Service Newsletters, public/private knowledge base systems, product manuals, etc. Sufficient knowledge of IT operations, responsibilities, workflow processes, and procedures to resolve most inquiries independently. Manage the resolution of critical customer account issues. Collaborate closely with technical and field services personnel, customer IT technical staff when needed. Should be available for 24x7x365 staffing assignments (on-call) as required. Other duties as assigned. Perform tasks related to securing and keeping the products, tools, and processes that you are responsible for securing 2+ years of experience in advanced networking and MS SQL database experience Must have skills: MS SQL scripts, HL7 & DICOM Interface, Healthcare and/or Radiology workflow understandings Windows server proficient Routing, switching, load balancing, cluster environment Security, Active Directory, Single Sign-On Must possess experience in the installation, configuration, management and performance monitoring of Microsoft Windows based applications and components. Strong written and verbal communication skills. Microsoft Windows based applications and components. Advanced scripting experience in one of the following: VB Script, Pearl, or Python. Strong written and verbal communication skills. Object oriented development experience. Experience with processes and methodology associated with design, documentation, transition and implementation/integration of systems in a healthcare environmentof Radiology Information Systems (RIS) and/or Picture Archiving and Communications Systems (PACS) Experience with Dragon Naturally Speaking, PowerScribe 360 and/or RadWhere"
37,Data Scientist,Zauba Corp,"Bengaluru, Karnataka",,"Design and development of robust, scalable and highly efficient data engineering solutions for structured and unstructured data Design and develop out-of-the-box solutions to solve complex data problems Develop statistical models for various use cases Develop processes for text mining and extraction of information from unstructured data Design and implement data models that scale across the enterprise Take ownership of existing data workflows and processes Enhance scalability, performance, and stability of existing infrastructure Work closely with other team members to integrate your innovations and algorithms into our production systems Java / R / Python - Intermediate to advanced level` Regex - Advanced SQL - Advanced Apache Weka / Mahout or other similar tools - Intermediate to advanced level Experience in Search Algorithms, Semantic Analysis, with good knowledge of Machine learning/Distributed System/Data Mining/NLP/Artificial Intelligence Linux - Intermediate Hadoop/Spark R MongoDB Skills to learn new skills quickly Desire to create disruptive products and services Passion; not just to work in startups but to take them to next level Above average programming aptitude Be passionate about producing high quality engineering deliverables Be productive working independently or collaboratively Have an eye for building efficient processes Be self motivated Proactively take ownership"
38,CPQ Analyst,Aspect Software Inc,"Bengaluru, Karnataka",,"Become a trusted customer advocate within Aspect. Knowledge and facilitation of customer’s business objectives, operational metrics, performance trends and improvement goals. Coordinate and manage projects for delivery of product configuration, quoting and pricing requirements as part of a larger software development program Ability to create and manage a project schedule of actions and deliverables within the scope of a larger software development program Ability to translate business requirements into technical requirements for implementation into business software management and CPQ tools Ability to configure and manage projects using internal software applications that include Salesforce, NetSuite and Apttus (CPQ) tools Manage escalations; be the POC for communication; ensure the appropriate level of Aspect resources engage; manage follow up as warranted. Conduct periodic customer management/executive reviews focusing on corporate updates, life cycle management, support metrics, training, trend analysis etc. Communicate with internal and external stakeholders, facilitating account management improvements as warranted. Act as a single point of communication and coordination for tactical issue planning, escalations/resolution. Partner with the Sales team on quoting and pricing of product solutions Maintain oversight of active implementations; advocate when needed. Ability to create and maintain project plans and deliverables within a SharePoint environment Engage internal and external resources as necessary to solve problems. Assist with system admin responsibilities for NetSuite, Salesforce and Apttus tools Knowledge of Salesforce and CRM Applications Experience with Apttus Products and Pricing, Shopping Cart functionality, Quoting and Quote Templates Implementation and configuration of Objects, Custom Apps, Page Layouts, Tabs, Validation Rules, Workflows Experience with Apex Data Loader Ability to facilitate communication between business partners and technical delivery teams. Experience with system integrations and understand how to troubleshoot data discrepancies. Excellent problem-solving skills and ability to present analytics findings various business teams. Strong knowledge of overall sales, accounting and operational business processes, with in-depth knowledge of Quote-to-Cash processes preferred. Exceptional communication skills, both written and verbal Detail-oriented, organized, self-motivated, hardworking, and a great team player with excellent interpersonal skills 3 - 6 years of experience related to CPQ or Apptus. Bachelor's degree in related technical field. Apttus CPQ certified a plus LI-AB2"
39,Artificial Intelligence,HR Devi and Associates,"Bengaluru, Karnataka","₹9,00,000 - ₹18,00,000 a year",Developing Predictive/recommender/prescriptive Systems Using Machine Learning and Optimization Techniques Developing Ai Based Solutions for Improved User Experience such as Chatbots Etc. Enhancing Data Processing Procedures to Include Information that is Relevant for Building Analytic Systems Evaluating the Integrity of Data Used for Analysis Present Analytical Results to Business Customers with Clarity
40,Microsoft D365 CRM Developer,Sonata Software,"Bengaluru, Karnataka",,
41,Designer,Sonata Software,"Bengaluru, Karnataka",,
42,Python/Django Developer,Sketch Brahma Technologies,"Bengaluru, Karnataka",,"Write effective, scalable code. Familiarity with front end technologies like HTML, CSS & Javascript. Experience with any of the libraries such as ,MatPlotliNumPyb, Scikit learn. Knowledge of object-relational mapping(ORM), Artificial Intelligence, Machine Learning, Deep Learning are added advantages. Should have good knowledge on sql and core python. Develop back-end components to improve responsiveness and overall performance. Integrate user-facing elements into applications. Test and debug programs. Improve functionality of existing systems. Implement security and data protection solutions. Assess and prioritize feature requests. Coordinate with internal teams to understand user requirements and provide technical solutions."
43,Associate Data Science Consultant,AXA Business Services,"Bengaluru, Karnataka",,"Maintain and evolve the part of the innovation process linked to the data science activity Promote and evolve the innovation process within the Data Science community Understand operational needs by collaborating with specialised teams Formalise needs into mathematical models and problems Explore databases (including very big databases, in tables or unstructured, including open ones) to mine patterns Choose relevant techniques and create data processing solutions for the identified needs Present and promote the solutions to the relevant communities and committees Implement and deliver solutions by contributing individually as well as leading teams Manage and transmit knowledge through appropriate documentation and events (training courses, seminar, blog posts, etc.) Sound knowledge and practice of machine learning and experience in applying to business Strong programming skills (required: Python; appreciated: R, Java/ Scala) Practice with a modern distributed computing framework (like Spark, Hadoop) Extensive experience in data processing (e.g. data mining, social network analysis, text mining), including practice with database access (SQL, Hive, MongoDB, etc.), data visualization (e.g. Dash, Plotly, etc.) Good communication and strong interpersonal skills Excellent presentation skills Strong team player and influencing team/stakeholders positively Capable of handling pressure situations and tight work deadlines Educational background in mathematics/statistics/engineering 3 to 5 years of elaborate professional/research experience in machine learning, big data and artificial intelligence Work experience in an international environment is an added advantage Shift timing: 10:30hrs to 19:00hrs"
44,Internal Audit AI_RPA-Data Scientist AI/ML,AXIS Bank,"Bengaluru, Karnataka",,data science: 3 years (Preferred) AI/ML: 3 years (Required) total work: 3 years (Required) Bachelor's (Required) Yes
45,Artificial Intelligence,HR Devi and Associates,"Bengaluru, Karnataka","₹9,00,000 - ₹18,00,000 a year",Developing Predictive/recommender/prescriptive Systems Using Machine Learning and Optimization Techniques Developing Ai Based Solutions for Improved User Experience such as Chatbots Etc. Enhancing Data Processing Procedures to Include Information that is Relevant for Building Analytic Systems Evaluating the Integrity of Data Used for Analysis Present Analytical Results to Business Customers with Clarity
46,Internal Audit AI_RPA-Data Scientist AI/ML,AXIS Bank,"Bengaluru, Karnataka",,data science: 3 years (Preferred) AI/ML: 3 years (Required) total work: 3 years (Required) Bachelor's (Required) Yes
47,Healthcare Management-Health Data Analytics,Accenture,"Bengaluru, Karnataka",,
48,Machine Learning and Artificial Intelligence Trainer and Con...,Webdrills Corporate Academy,"Bengaluru, Karnataka","₹20,000 - ₹35,000 a week",Machine Learning: 3 years (Preferred) total work: 10 years (Preferred) training: 5 years (Preferred) Bachelor's (Required) No
49,Internal Audit AI RPA Data Scientist-Data Modelling,AXIS Bank,"Bengaluru, Karnataka",,data science: 3 years (Required) total work: 3 years (Required) Bachelor's (Required) Yes
50,AI Engineer I (1-2 yrs exp),icecreamlabs,"Bengaluru, Karnataka",,"Study and transform data science prototypes Design machine learning systems Research and implement appropriate ML algorithms and tools Develop machine learning applications according to requirements Select appropriate datasets and data representation methods Run machine learning tests and experiments Perform statistical analysis and fine-tuning using test results Train and retrain systems when necessary Extend existing ML libraries and frameworks Keep abreast of developments in the field 1-2 years experience Understanding of data structures, data modelling and software architecture Deep knowledge of math, probability, statistics and algorithms Ability to write robust code in Python Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn) Ability to work with Tensorflow Excellent communication skills Ability to work in a team Outstanding analytical and problem-solving skills Bachelors in Computer Science, Mathematics or similar field; Master’s degree is a plus"
51,Splecialist System Engineer AIX,Société Générale,"Bengaluru, Karnataka",,
52,Cloud Engineer,Sonata Software,"Bengaluru, Karnataka",,
53,Software Engineer,WELLS FARGO BANK,"Bengaluru, Karnataka",,"10 to 12 of Expertise in Enterprise image capture softwares like Kofax Capture 10/11, KTM 6.x. Experience in below aspects, in either Kofax or any other Capture/OCR tool. Working knowledge of Text extraction, Table data extraction and OMR value extraction using format locator, table locator, Zone locator etc. Experience in configuring Kofax import connectors and Kofax export connector ( EG: Email import connector, Folder import connector, XML export connector) Knowledge of creating projects in the project builder and synchronizing to KC Admin. Knowledge of creation of Index fields Validation form layouts and custom form layouts. Knowledge of integrating validation forms with .Net services. Knowledge of the usage of KTM extraction locators and Evaluators and assigning to fields. Knowledge of usage of Dictionaries, Flat file Data sources and ODBC Data Sources with KTM project builder."
54,Netcracker - Production Support,Prodapt SA,"Bengaluru, Karnataka",,Good written and Verbal communication Quick learner Should have L2/L3 Support experience. Telecom OSS knowledge would be a plus Should be flexible to work on shift timings Netcracker Experience is a Added Advantage Hands on Experience Service fulfillment
55,Technical Consulting Engineer - Routing & Switching,Cisco Systems,"Bengaluru, Karnataka",,"Expert level (e.g. CCNA) or equivalent relevant certification desired. Good experience into Routing and Switching. Excellent written and verbal communication, interpersonal and presentation skills. Ability to function in ambiguous circumstances. Possesses customer consulting skills including ability to build relationships with customers, engineers, managers level & above. Demonstrates expertise on broad range of technologies and delivery methods. Deep knowledge of at least one Customer Vertical / IT industry"
56,Oracle CPQ BigMachine Consultant,Prodapt SA,"Bengaluru, Karnataka",,
